########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

158336	2.8578e-07
158464	2.90879e-07
158592	2.71087e-07
158720	2.75283e-07
158848	2.70459e-07
158976	2.65439e-07
159104	2.27891e-07
159232	2.41892e-07
159360	2.99333e-07
159488	2.25559e-07
159616	2.03771e-07
159744	2.03208e-07
159872	1.95914e-07
160000	1.7446e-07
160128	1.90215e-07
160256	1.6466e-07
160384	1.64698e-07
160512	1.51156e-07
160640	1.53916e-07
160768	1.38152e-07
160896	1.41961e-07
161024	1.29144e-07
161152	1.26807e-07
161280	1.15788e-07
161408	1.13726e-07
161536	1.12706e-07
161664	9.95958e-08
161792	1.02822e-07
161920	8.98297e-08
162048	8.85427e-08
162176	9.2141e-08
162304	8.38354e-08
162432	8.13251e-08
162560	7.52759e-08
162688	7.32565e-08
162816	7.38195e-08
162944	6.38504e-08
163072	6.18946e-08
163200	5.93842e-08
163328	5.94139e-08
163456	5.6476e-08
163584	5.5079e-08
163712	4.81407e-08
163840	4.84159e-08
163968	4.33656e-08
164096	4.22692e-08
164224	4.52155e-08
164352	3.96107e-08
164480	4.05759e-08
164608	3.6313e-08
164736	3.3464e-08
164864	3.1775e-08
164992	3.01536e-08
165120	2.89471e-08
165248	2.75544e-08
165376	2.71522e-08
165504	2.60346e-08
165632	2.49255e-08
165760	2.24067e-08
165888	2.22713e-08
166016	2.16066e-08
166144	2.07727e-08
166272	1.94688e-08
166400	2.10859e-08
166528	1.76951e-08
166656	1.72252e-08
166784	1.6967e-08
166912	1.54896e-08
167040	1.41434e-08
167168	1.59594e-08
167296	1.39232e-08
167424	1.22892e-08
167552	1.09727e-08
167680	9.95244e-09
167808	9.52065e-09
167936	9.39788e-09
168064	1.05451e-08
168192	3.08397e-05
168320	1.67854
168448	3.95207
168576	0.933824
168704	0.0579395
168832	0.000182168
168960	0.000311528
169088	2.33725e-05
169216	3.56299e-05
169344	2.98149e-05
169472	1.73198e-05
169600	7.22722e-06
169728	0.000125148
169856	6.45475e-05
169984	5.43243e-06
170112	4.44154e-05
170240	4.78474e-05
170368	0.000102349
170496	0.000110343
170624	0.000133437
170752	6.72124e-06
170880	1.50302e-05
171008	0.000164371
171136	3.85363e-06
171264	7.63245e-06
171392	7.35643e-05
171520	9.15646e-06
171648	2.79566e-05
171776	3.19918e-05
171904	0.000200677
172032	0.00016078
172160	3.65671e-06
172288	1.69867e-05
172416	3.31426e-05
172544	3.30435e-06
172672	2.7582e-05
172800	2.06129e-05
172928	4.4587e-06
173056	3.7947e-06
173184	2.31038e-06
173312	1.77395e-05
173440	3.41309e-05
173568	3.47564e-06
173696	4.66004e-05
173824	8.53957e-07
173952	1.18374e-06
174080	1.58465e-06
174208	1.5197e-06
174336	3.83967e-06
174464	2.09506e-06
174592	3.3666e-05
174720	4.70183e-06
174848	6.85662e-07
174976	1.30689e-06
175104	2.61787e-06
175232	1.04922e-06
175360	7.74226e-07
175488	3.0162e-06
175616	7.57284e-07
175744	1.453e-06
175872	1.76994e-06
176000	7.62405e-06
176128	5.41774e-06
176256	1.25497e-06
176384	7.13763e-06
176512	2.58726e-05
176640	6.75107e-07
176768	4.99515e-07
176896	3.02918e-07
