########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

213376	0.183624
213504	0.183221
213632	0.183458
213760	0.183017
213888	0.183126
214016	0.183127
214144	0.182963
214272	0.183115
214400	0.183174
214528	0.183474
214656	0.183253
214784	0.183287
214912	0.183051
215040	0.183125
215168	0.183063
215296	0.182985
215424	0.182862
215552	0.183384
215680	0.183035
215808	0.182906
215936	0.183048
216064	0.182916
216192	0.183129
216320	0.182557
216448	0.183082
216576	0.183299
216704	0.182923
216832	0.182928
216960	0.183108
217088	0.182723
217216	0.182932
217344	0.183035
217472	0.182821
217600	0.182928
217728	0.182550
217856	0.182852
217984	0.182740
218112	0.182833
218240	0.182487
218368	0.183109
218496	0.182834
218624	0.182602
218752	0.182717
218880	0.182628
219008	0.182622
219136	0.182754
219264	0.182736
219392	0.182680
